OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,5293,368,762,8453,6420,1258,5507,3380,4852,5822
+,2901,5459,8173,8263,1428,3787,3624,4398,4280,8277
+,7844,8211,8308,6398,685,6674,5283,8116,6167,1917
+,6591,1846,1421,9661,2062,9188,2999,7187,8297,8973
-,3027,7226,9204,8662,6731,7355,1513,495,6711,3485
+,3638,8775,1379,2256,872,7498,6572,6628,2679,7828
+,5887,8315,6113,9192,3669,4419,327,2736,3498,5452
+,7071,6325,3528,9530,4813,5901,9019,2044,6373,5259
+,7151,7073,7279,103,7484,2063,308,6101,7954,1343
+,8484,1376,7098,8734,3791,3074,7497,2515,5371,6319
+,2622,3352,1300,1782,55,6174,6928,5922,1035,4461
+,6002,769,6967,864,1220,6352,8791,1504,4442,2260
+,7047,4484,9864,5189,2449,1200,1121,2095,4763,5083
+,88,2292,759,9196,1206,1113,4482,2079,5931,6416
+,8374,1065,4977,3684,179,8282,7255,350,3903,7271
-,8826,5166,416,6304,7361,862,8491,2370,5625,5184
+,2967,8144,499,4455,6659,1983,2804,3067,3258,2931
+,2796,2172,9834,7991,5287,9060,6093,9830,1904,6697
+,9435,8112,3290,2327,483,6204,5550,8937,377,4639
+,1037,6437,554,6609,1701,8027,9783,172,1366,1971
+,1248,3089,8523,5762,3333,3295,44,1997,4394,1813
+,9006,346,8315,9003,7328,2872,418,292,5034,2678
+,9914,2260,4039,2209,2185,286,1054,9340,9429,7164
+,7542,3307,491,9613,4346,2133,8602,3286,9046,1649
+,2147,1565,3503,1464,2138,8641,5640,5922,8893,1742
+,6917,2775,8300,6103,1214,7521,4089,4341,9994,766
-,836,6350,7527,9307,3048,467,4316,540,8801,5569
+,5870,3719,3023,1181,7923,282,6506,7201,7908,2112
+,5708,6006,1857,9599,2247,1975,1939,8456,3243,2693
+,9835,6165,5413,9061,9377,7916,9525,2520,5848,5406
+,8189,8857,2230,7421,7287,1776,2207,8542,6267,618
+,2698,8948,6184,4304,3241,4592,1334,6979,7675,528
+,1310,2265,5210,2135,22,4502,6366,1401,2657,3969
+,3595,8995,5033,7247,7114,7264,6979,9925,4374,9848
+,8255,705,6756,2946,8599,4002,2483,3964,8108,4946
+,6139,8954,6445,7393,4538,5738,2836,9138,9082,432
+,5851,3891,1945,864,1430,4034,8632,6083,4631,4186
-,6091,1707,7773,7039,5060,339,1074,8579,4032,1090
+,4005,9893,4871,113,7467,6709,6981,8797,2454,7779
+,3101,1631,7723,3761,8427,8959,3686,9117,7846,6734
+,2414,4415,2621,6079,7168,1541,3805,7142,6996,6159
+,6706,3084,7105,324,4291,5497,6549,7762,6709,9787
+,6782,5570,9782,1457,9809,7818,1789,5058,7606,3207
+,4849,2016,8647,5373,487,104,5778,1217,1456,6849
+,7480,516,7373,199,912,6994,3663,9447,3284,6242
+,7173,8719,3649,4249,9734,2935,2474,1808,300,2130
+,3965,7652,6696,4628,7982,9684,2913,8190,5011,1059
+,3227,5235,457,1870,2566,9760,632,5313,8430,1403
-,1993,403,2459,7005,8073,9952,4054,9195,546,8666
+,9632,2357,208,1624,7213,8690,6577,2419,9970,154
+,6226,3044,2610,2651,7737,7885,6129,9768,8787,9363
+,7014,7037,1611,3392,2697,2675,8392,713,7885,3537
+,797,9743,4415,6056,5701,145,6790,4669,2463,2147
+,5695,3049,1761,9627,8456,821,2463,9821,272,4382
+,807,4731,8062,2784,8639,4507,4766,2610,5766,7585
+,3725,5730,9297,4313,6338,2314,5292,1376,1572,2845
+,3081,7792,1628,4693,6267,2621,1954,1788,8734,6532
+,3926,5557,7289,3735,4373,2414,7447,2308,6490,390
+,1869,8763,4902,5187,5996,4793,6909,5798,7331,3888
-,837,6201,987,3306,4665,5166,2849,3980,9164,7718
+,8702,3983,1777,7677,262,9992,4185,575,1008,9763
+,4037,178,5325,9169,3665,6444,2207,1719,1413,7737
+,9307,2500,3851,5174,5277,4897,1276,4360,2934,7596
+,48,2690,6559,2856,5753,3710,9954,7643,1585,5765
+,8958,3333,7499,6798,8985,618,3401,621,4338,4356
+,895,1661,2706,5802,6136,2967,7105,6531,2916,2339
+,7483,5959,5215,8617,6451,7573,7482,579,7662,1625
+,1068,7117,2661,1903,2740,4020,1376,2065,9485,398
+,5083,9306,5812,1741,4686,6946,7571,2829,9316,9499
+,821,6066,3365,6551,10,3775,7464,4734,1342,9118
-,3105,3401,4568,2913,8497,7366,31,2927,9686,2125
+,699,9313,5036,6643,8954,7121,4534,9226,7310,9435
+,9888,7028,5856,34,4365,7684,4083,7395,7909,2386
+,8342,197,3762,8569,1634,4067,6970,7888,5029,1210
+,2502,4929,288,183,1011,2099,2210,7869,9140,7938
+,7235,7482,7843,3063,937,4379,9140,4783,7983,6690
+,9436,698,9267,6064,4739,4568,3563,9747,743,3741
+,3994,7702,3353,4213,9807,2477,1405,2454,6796,7842
+,5052,9939,4151,404,2263,8471,7013,6598,8540,7428
+,9345,6533,3181,1371,94,9314,9806,5185,6540,445
+,826,4521,7867,940,2221,4060,7056,4883,596,2694
-,9498,6320,6498,8349,5881,1544,599,734,3834,1612
+,5115,9154,3904,1588,9635,8973,5438,7608,4862,9273
+,3598,135,4345,2571,9572,3751,7111,4066,3326,2097
+,3930,6208,3669,7003,8030,5079,4469,257,5149,9202
+,7937,3455,2848,3765,844,685,4426,7198,5193,691
+,3578,76,535,6868,8779,2771,4276,4905,632,2794
+,8197,5895,8005,9103,6876,3948,1288,1414,5088,9145
+,9420,4426,9521,2949,6184,3923,4465,7919,1393,6823
+,7494,3129,3690,9468,4953,8602,3793,4447,9414,1221
+,2006,4413,3773,2763,1388,294,8053,9563,3332,9715
+,208,3,5250,6753,5539,8139,8188,8188,7009,9738
-,2622,3352,1300,1782,55,6174,6928,5922,1035,4461
+,3935,7005,8471,3454,9200,6403,9439,6009,8772,1213
+,2557,4654,7939,5056,4777,6676,9627,955,4015,7580
+,7692,8719,4494,4886,1507,3379,1721,2156,6548,4275
+,7097,4512,8261,4285,6058,4607,8548,564,2040,6857
+,4620,70,6941,4447,8483,2843,7313,9967,4441,3529
+,3706,3221,1688,6105,9771,9449,8473,909,9968,3229
+,4681,6627,2992,6920,3130,1405,5286,6737,4202,2709
+,8922,7970,9145,3026,8839,7780,8923,8586,7584,5219
+,5464,8350,4721,1202,1218,3458,5388,6889,8552,7607
+,7409,1909,4639,473,9375,8092,5576,834,7652,7534
-,7972,4299,1641,9612,5153,2725,1741,178,5732,7432
+,5446,4638,6987,1522,3987,3716,2622,6234,5699,1386
+,4483,5700,3355,7412,1024,1448,3635,1649,1979,8589
+,9813,7667,1411,1744,7203,3999,7022,1625,7692,9819
+,6978,7481,7507,4951,5960,8200,9199,8195,8784,4476
+,2634,4789,8679,3011,3261,8400,8680,267,6573,4780
+,3312,2007,9067,3704,3009,8947,6140,7637,6835,7044
+,2076,741,9919,9000,3139,1340,2224,2571,1571,461
+,972,709,602,3062,309,47,9055,1711,6289,7043
+,7888,7961,2818,2162,1289,3055,273,4700,2185,1825
+,9352,8847,3341,4908,9267,6969,1622,2899,756,2924
-,5737,6310,9627,9250,6650,6104,4342,8977,332,6138
+,9253,5515,1760,9932,1810,2365,3345,6398,1132,184
+,2574,8081,1727,9953,8382,9122,4138,2638,6407,32
+,162,6606,3646,9896,4371,8734,8482,8689,8598,4127
+,5361,1084,1952,1603,4909,9965,8194,9810,348,8609
+,505,6015,4786,5756,9671,6384,3874,6354,8574,1004
+,4235,8337,2349,3709,3390,6910,2074,6663,7096,3361
+,5736,8537,1681,8661,8580,9448,6506,8259,8942,1363
+,2323,3749,5879,8432,8435,3251,5080,8779,2090,2239
+,2100,3875,8747,5289,8116,4131,6309,887,8437,200
+,9637,2347,9134,8236,8,9606,8255,8344,442,4712
-,2673,7810,8687,108,8063,3997,9390,6992,5318,6538
+,5844,9910,3073,7945,1106,4877,6750,7084,6528,1700
+,4700,6449,8088,7819,2053,3904,1945,7804,1227,7308
+,5228,757,5746,9250,8923,1971,9622,7387,9299,2761
+,9541,1205,7502,1433,1518,9902,4196,1799,2448,7401
+,7363,7431,1462,1528,1414,5528,6404,3929,2074,7526
+,5980,6267,3448,8157,8255,2893,7585,7240,47,7648
+,8450,9436,2652,8776,9036,5269,2754,1637,9080,7108
+,5405,8573,2039,418,9687,7347,1435,7437,4477,3122
+,2592,9605,9250,8358,1320,1454,6799,1597,3381,1619
+,5591,5225,7644,5459,3553,5534,5100,5405,7960,5010
-,7381,6904,5069,876,6141,3406,3977,9587,2309,9708
+,3630,6183,2578,8245,2244,6104,5668,4014,2941,4083
+,1052,5285,9518,1323,6999,6199,5795,6481,7642,5239
+,9698,6383,5435,149,4804,1137,75,6266,7326,5310
+,2429,9099,7511,8582,4332,7991,8661,8982,3181,9958
+,6491,4326,8574,3550,3971,2247,3296,8777,7213,6427
+,1046,6946,9913,1976,8816,2744,8284,3150,333,1989
+,7339,3255,5612,2784,8812,1125,4738,7784,3581,7787
+,7163,939,4775,3736,1419,4198,2820,4826,5094,3132
+,8863,6521,1252,6607,5098,2282,5219,7232,4970,1083
+,5972,8087,9135,5989,7067,5868,2253,1675,9490,3676
-,4973,4092,3177,7455,4328,52,7882,596,6822,6134
+,8417,75,6341,5539,4362,5314,6004,6035,9457,4746
+,5644,4493,4093,2036,7739,9327,3660,5573,1652,3905
+,2606,8811,7488,7273,1001,8315,6829,9871,3109,7251
+,246,9347,2953,6869,5578,3498,4583,6710,9289,9477
+,9718,174,2547,8917,5244,9802,2824,6909,338,5758
+,418,1960,8222,9251,3022,6209,9096,9028,1140,2625
+,3112,4115,9095,4703,7834,5868,6512,7136,8497,2027
+,5277,274,9138,9125,9556,1038,8584,5991,7795,2193
+,5866,9832,7923,741,1315,1109,8154,1217,9155,3945
+,5055,7070,608,966,9955,6545,2040,432,4614,6664
-,6509,6749,3286,1667,1567,8668,1292,2697,724,8379
+,6259,2696,2975,8060,6748,8840,4993,6820,2351,2225
+,7026,1048,6481,5018,9196,4571,5216,1396,4702,1033
+,3176,1959,8892,1101,3053,1856,8780,6627,6315,9508
+,7092,9042,361,7539,5720,8117,945,8356,8843,5214
+,5955,5997,9259,7035,9004,2165,954,981,1494,7587
+,4071,3070,5533,4210,4822,2838,3472,7613,907,4720
+,9459,2860,3340,2223,1494,9204,8774,33,4438,8106
+,1712,859,7745,5017,465,5100,9680,6249,3912,2572
+,4047,5267,2114,7874,705,3786,8278,3164,3106,8051
+,6629,388,901,9571,7658,2938,3552,6849,2687,5182
-,6629,388,901,9571,7658,2938,3552,6849,2687,5182
+,4312,6190,6755,9179,2831,5686,7483,7713,2625,8591
+,5642,3803,988,2064,7859,5436,5414,2154,239,1878
+,8751,9199,6912,1062,3140,6930,6963,36,5806,448
+,6516,8028,1223,4006,9178,1108,8751,653,8111,9636
+,8151,8265,2937,2205,4149,3204,7515,5976,2343,5329
+,741,2020,4935,2191,1050,7441,8553,2476,3599,3840
+,2732,1532,848,2703,9823,25,9850,8790,5704,853
+,2373,4731,4878,9502,7301,8986,113,6165,5728,9795
+,5832,8692,6486,4897,8176,4163,8020,1108,1575,9822
+,4051,2197,2785,4824,3736,5842,9188,2771,2619,5837
-,3852,1523,5862,9485,8924,7791,2105,8417,3048,4338
+,293,9416,9902,6754,7490,2663,8292,2767,8821,6427
+,7632,6288,8224,8063,3286,8951,6858,9615,4952,8687
+,3165,9961,4484,8932,1734,6368,2839,8005,4794,2822
+,9539,4860,8361,9066,336,5727,518,3830,6334,4746
+,820,3901,5424,6440,8378,2968,2099,2037,7460,811
+,9236,4670,6337,852,7790,5135,4571,2003,1632,1424
+,2080,5130,3375,7278,1433,294,2761,6457,4913,2310
+,9176,3795,3306,8569,5070,3600,6326,1025,6709,5605
+,889,4192,5857,2781,7268,5937,9318,8133,1926,1714
+,1542,3871,595,4646,552,7483,3078,5311,4444,2244
-,3952,9527,9230,385,590,6188,8645,4121,2952,5200
+,6470,803,4671,5478,782,1145,2009,7858,2219,9702
+,1789,8926,3350,1812,2565,2812,2965,7970,855,776
+,2904,9034,6828,798,9778,4865,204,6853,9197,9474
+,9925,4268,4161,4342,1325,9906,319,7495,1632,2703
+,6438,3447,5724,9563,5,1316,7038,3283,3515,1757
+,6252,9126,882,2455,5477,7118,7276,3793,1963,8211
+,3777,1605,7109,2345,6756,2124,2693,244,3073,4082
+,8993,4637,3381,8186,2724,188,5271,3553,1308,5701
+,6297,1515,8775,7608,3799,8534,6949,7700,3655,4086
+,9412,5800,2530,2827,749,4112,2536,6153,4365,5060
-,5515,9347,529,1454,7680,8376,2026,8004,4732,6727
+,8372,7614,8301,4428,1903,408,6153,6321,5059,5158
+,7084,782,8125,7558,1038,8860,9908,9890,1054,6170
+,7399,7333,1868,9147,8900,3732,7800,3057,406,9560
+,3527,4176,129,2007,2283,9314,7618,5201,9217,2693
+,9301,412,5370,6002,2122,7336,2503,9963,902,8526
+,5690,5566,711,3410,9150,5834,6795,9542,7593,9823
+,4492,7685,6457,9279,3760,3487,5471,5851,5578,6785
+,2021,9815,5211,4555,4630,2614,1447,1102,9398,2462
+,9654,8698,8244,120,3026,6630,5520,6334,8804,7773
+,3441,8423,1282,3294,4012,14,678,10,8386,8957
-,4218,5907,5085,3003,8256,4797,3982,4640,4853,225
+,3173,25,3601,473,6741,2646,4341,5872,3927,1476
+,35,3316,8054,4602,2477,5058,6662,3049,8124,6601
+,7045,6744,2940,6956,4716,8485,111,3467,1107,7514
+,6212,2369,5240,6997,8875,2599,2166,329,8546,9001
+,8491,8501,523,8370,9611,4324,2292,3104,7560,75
+,7715,7422,8057,2819,580,2547,7287,9901,5146,8291
+,2045,2361,158,6472,6454,4763,290,7898,9604,5888
+,1438,2021,3745,4507,8122,1380,2085,262,1264,4712
+,7284,7644,2587,5365,7249,386,2902,1125,7974,7153
+,5101,701,7138,8001,6855,5805,2416,7706,2769,1577
-,6396,4315,9798,5948,1610,9379,190,8721,6181,2858
+,4285,6515,8453,1430,883,3892,8589,4178,2396,4663
+,4098,7670,6223,3802,3166,8475,9909,3914,7229,7346
+,5718,8922,2007,3391,68,5506,1426,9768,3078,8465
+,786,9667,8276,7044,1393,5116,6160,2492,3233,5560
+,628,683,9350,9387,4391,2597,3723,4172,7013,8306
+,1508,8552,1111,2720,2071,7987,9000,9852,9051,6220
+,3673,8522,2457,7406,1402,5524,5920,3664,4881,4688
+,5713,2573,3751,9617,6452,8661,9240,6647,7500,1492
+,7592,9897,6088,7169,733,243,7649,5010,3475,9876
+,6812,5251,28,757,1160,9681,3125,2605,2001,9903
-,8398,2026,3943,2139,9028,3953,6784,4597,3135,6650
+,3603,9248,8093,9202,1005,8217,972,8096,860,5577
+,470,1123,2782,9933,3747,3952,5377,1706,8829,8078
+,9137,8501,919,8650,4577,8263,5989,9847,2193,1188
+,2407,7057,1220,1918,8571,2302,7847,5344,1186,1115
+,4198,6636,6460,6081,1543,284,6281,6142,5508,4947
+,6429,7647,7744,3870,3767,8589,5046,3125,5080,9048
+,2258,1886,6484,5187,8471,4868,7929,157,710,8650
+,6586,21,42,9155,7447,4547,5260,3114,4708,26
+,3033,1985,9962,1854,6743,3385,2591,632,2087,2944
+,3268,2792,155,8967,4069,1893,1190,271,8182,3123
-,5999,1837,3699,3687,9938,8943,6666,4819,3840,7432
+,657,609,218,3238,6627,8633,5312,4983,3310,9764
+,7431,4921,3085,5534,7133,3200,6875,2641,7771,4323
+,1100,5444,3390,3290,2605,9105,9780,5779,6830,7933
+,6400,810,9957,1048,4262,6290,9033,6578,5956,2536
+,253,3392,6535,5690,2741,2261,2301,399,5190,8441
+,9471,8915,8972,2521,8855,2885,914,3901,3552,993
+,6687,9415,187,9520,1591,2582,8974,9420,1226,931
+,1621,3594,8618,9572,9412,7594,978,2471,427,6060
+,4838,8491,9798,335,7280,6801,7356,9618,4982,1011
+,8896,8784,4695,2749,8964,8634,6916,3761,5922,3170
-,1188,314,2873,2648,5254,3522,426,1713,9781,4085
+,6677,6911,3488,2795,3781,9782,2270,6509,8135,5153
+,7606,3529,7897,5080,9553,3924,9838,3124,5200,4586
+,1012,60,2620,903,1987,227,7922,2612,3757,662
+,425,2754,9029,5605,632,4718,9928,3698,4884,4131
+,7140,7178,5106,6307,749,8983,5613,8285,152,8027
+,9809,2772,4185,8257,6072,6030,7252,7797,8642,9912
+,4379,6997,2776,6753,7029,2952,9121,7792,3078,9926
+,6321,1458,4396,1270,6215,5210,4600,7935,4926,7887
+,200,9009,6534,4540,5494,3914,2725,4442,2772,9258
+,8293,7970,5541,2559,617,8716,2996,8793,4657,1810
-,4235,8337,2349,3709,3390,6910,2074,6663,7096,3361
+,225,9591,919,1118,5633,8977,7800,8267,6837,1466
+,5117,6906,5856,1682,1353,8938,9549,8290,7467,8985
+,2310,894,9417,1436,388,2121,800,2901,7516,10000
+,1673,65,8045,2190,7984,7506,7362,5162,6772,3195
+,1670,9592,7735,1173,8879,6975,1995,9540,7669,1527
+,232,2306,3851,3707,6813,8573,6840,3048,1420,9326
+,6703,2371,8323,8351,6078,1763,550,8154,8014,3386
+,5294,3070,5469,502,1098,6665,8166,7016,8745,498
+,4353,3747,5566,8292,8718,1026,8045,1075,6402,5316
+,4220,9675,8205,8002,2254,4570,7543,9563,2553,1086
-,911,8229,9195,7134,6626,3405,687,6906,5359,5607
+,2935,8419,9606,1228,4800,5111,2947,1482,9334,1464
+,5463,6678,4204,6120,8973,1135,3445,5570,9909,9262
+,4222,1259,1768,3003,4249,6146,8863,8329,7144,359
+,4994,3279,4574,1145,4526,7859,2634,7586,7673,4983
+,7537,8077,9624,5366,1089,8619,8768,6443,1589,4197
+,4199,5981,8424,3531,5427,5595,6577,1166,4401,8875
+,4337,1264,2232,5635,1743,7322,6170,4958,7105,7750
+,6103,247,4953,6589,4944,1049,6186,6373,6058,7912
+,462,7005,6257,1929,489,857,411,315,6975,1804
+,8710,429,3908,6082,7274,1844,5119,6474,9030,3768
-,8401,9409,6645,6524,2575,6422,8247,5790,3111,6988
+,5450,7741,5698,2614,7353,4485,8573,4824,5252,8400
+,6850,90,941,4262,2775,3700,3057,2987,5977,1777
+,5804,300,20,9064,9776,2106,5141,632,2325,4450
+,1272,2227,4761,7366,3107,6635,3002,6001,6288,5025
+,1120,8919,134,7175,969,3707,7988,4778,9333,2535
+,4246,5257,8922,2735,728,8005,4446,3465,4073,1228
+,6583,4588,4256,6644,6575,100,8386,3736,6986,5213
+,954,9392,4770,8083,1716,8837,874,4892,1756,571
+,5016,4649,6624,8761,6477,1915,3987,2611,6154,7144
+,5879,2315,9106,4699,2884,6099,7220,6622,7543,6462
-,272,3024,1232,4023,6502,6676,7102,4716,4347,4699
+,5324,7885,6587,9404,777,7607,6290,8097,5167,6932
+,5592,757,8593,861,4509,5290,946,5987,3920,7427
+,1177,58,8142,1262,7181,8683,9365,7890,776,7448
+,1152,2110,8979,6312,4726,2775,5510,1158,1878,9560
+,6807,7732,4119,7976,9690,4022,2209,365,463,7650
+,7263,1155,6699,2786,2126,1465,1375,5694,8491,3107
+,1545,4867,9602,6924,861,671,8965,2052,5767,682
+,2815,8535,397,4938,9024,1701,5843,8790,6178,6797
+,3477,2208,4496,4997,6177,8856,1471,8641,9566,9925
+,5337,1552,2763,9437,4286,6307,6752,8253,5220,5889
-,110,1947,6019,9015,486,3515,8149,9898,8329,9077
+,126,3924,7685,5666,5438,9852,8360,4640,4455,4469
+,2621,3889,9670,8485,22,4227,5147,2482,1030,7614
+,5334,3094,7522,2503,9390,8091,9696,1477,3855,1244
+,9893,9600,3236,8456,6194,6860,7574,465,8886,730
+,2645,6615,4576,6183,4451,5579,8479,2678,5960,4209
+,6056,4048,6170,3151,6349,4460,3614,8972,833,2961
+,7689,4839,488,2206,8892,7504,63,2532,8447,2815
+,1223,1714,6721,2337,3480,5137,4866,6159,6807,1707
+,7612,3576,8388,7628,2971,9970,3248,4038,1612,495
+,5189,7388,4054,99,3845,7768,7757,4119,4195,8515
-,1888,6986,997,220,3878,3198,8251,1722,5832,7300
+,5144,1209,6286,9262,5012,4543,8904,9033,6624,5509
+,8961,9200,8957,9947,5472,8826,195,1724,5136,4041
+,2036,8536,6522,9571,4744,9866,7070,9739,9981,6780
+,413,5005,7508,3555,7800,3419,7080,8566,4756,2201
+,71,1016,1196,1739,4625,8318,2536,7526,8071,8268
+,8022,3166,4972,8844,692,7813,1615,3238,8489,1754
+,4480,4933,6023,990,1547,4493,7116,2778,2859,8263
+,1851,3211,6173,6016,4528,9664,9,2650,1601,2616
+,402,1896,1470,9722,5224,848,8429,2644,5069,3199
+,3080,8993,3033,5464,227,4233,6033,1466,2040,4698
-,4784,1354,2223,2484,8980,2783,1426,5275,5792,6199
+,4551,545,38,8014,7905,254,6144,2183,960,1823
+,4787,3845,4403,4740,801,4211,6679,5492,8981,8826
+,4753,3491,178,5803,3924,7763,7361,2213,5600,8318
+,7427,6506,6338,7215,4281,9479,9755,1029,1622,252
+,3198,8747,9717,4330,7469,2711,2521,4305,9671,2519
+,5689,1988,1483,3293,6552,3058,3086,2290,9228,8947
+,1794,7796,4846,6075,9447,2336,9818,894,6814,3601
+,5311,9042,2017,1910,8974,44,6862,8275,9310,7855
+,7975,6439,6728,8181,6833,8682,8216,9833,9454,3416
+,3013,6866,8143,8821,9173,2727,7029,8668,1874,9645
-,2212,3852,7872,3206,6726,5654,1931,5695,2978,1285
+,5968,8285,1756,3351,109,1353,2823,7013,3136,5277
+,4099,585,8531,9773,9227,8819,6212,6485,4147,6056
+,7906,7096,166,3013,354,2060,7703,5878,3507,248
+,4263,8576,4382,3274,9019,7021,5162,3873,6934,8005
+,2554,3652,1292,5805,6006,956,5794,9539,9273,398
+,4653,8376,7762,4753,7148,2399,466,1980,6963,5199
+,122,2811,7015,9268,442,4630,1317,4323,1314,1753
+,7297,6716,5001,5106,559,2150,724,7042,2203,7176
+,5050,889,6328,8440,9097,381,4022,3075,2948,7978
+,1881,7011,4317,1415,4286,3193,1937,2776,1662,1318
-,4098,7670,6223,3802,3166,8475,9909,3914,7229,7346
+,6234,970,4697,9479,1621,5281,3007,6535,9645,3124
+,4136,6698,7637,192,4499,8293,679,7451,3045,2662
+,5796,9061,6877,9680,5405,5566,9459,6933,9925,6575
+,2331,7834,4457,9978,2892,3329,9219,2890,313,1480
+,5288,1675,6259,6513,6964,3621,1994,7038,8207,8104
+,3275,1601,7671,3686,2118,2995,4459,2927,2884,6921
+,9801,1675,9409,1343,3433,9597,476,1849,7763,1836
+,475,1664,782,5212,8093,9392,7227,1335,2922,2098
+,3064,5651,8433,927,9772,9262,7772,8067,4709,6458
+,8299,7881,2471,1507,7226,5168,2925,3422,5278,1184
-,5019,496,5709,2905,5508,5596,8837,8951,3480,7905
+,1550,454,2926,912,9972,8747,6543,5948,3982,9443
+,1260,8910,3513,5571,9752,9236,8465,205,2866,9824
+,4474,1118,849,6439,2567,8073,8022,4874,2395,8242
+,1497,9365,1975,3568,6244,4730,509,5881,9826,381
+,27,9896,8342,8943,6740,457,6871,2414,9908,2527
+,3523,2151,6065,4709,7726,3893,1971,5012,7275,5259
+,3571,5858,370,2613,7708,3460,659,3000,4302,8720
+,5852,4367,8681,8351,4006,2139,1876,2649,511,8725
+,3727,1519,6695,2020,6207,1210,3042,132,9317,151
+,2944,1931,3855,2885,3105,7185,5455,2073,8826,934
-,3071,9066,4706,5355,4728,2895,134,3300,4586,3182
+,9103,5075,2896,844,5834,5918,2008,168,8952,2426
+,3482,6061,4084,7995,7663,1412,3168,3877,4771,3050
+,4619,4625,6389,5622,6917,5145,8089,1343,3132,5675
+,6012,3332,7334,8245,9675,9165,8637,8837,7862,6815
+,3967,5886,3873,4398,8556,8445,823,394,4723,3507
+,1143,3321,1488,2229,6849,4413,1329,1539,837,7589
+,2599,8563,1124,7077,5324,9964,8970,1683,1086,8464
+,9473,8262,813,1602,2997,6773,2583,9663,7439,4786
+,9842,8528,6488,2465,1971,2533,8129,6086,6196,2876
+,5429,8362,6846,6475,1381,5326,3356,583,6306,6177
-,4471,1320,9193,250,187,9682,5623,5531,4137,3818
+,8661,2643,337,4365,8169,3583,6590,8981,2201,9028
+,6328,623,8387,7648,1193,1906,3280,6847,8989,3784
+,2714,9274,5540,6849,1673,8711,3363,621,4995,3541
+,9927,7809,8015,3063,2880,6295,850,7002,2146,9934
+,1220,6460,3251,5027,8431,7612,3309,8402,3667,7085
+,1463,4859,1257,3934,5561,6533,2829,8630,9259,2500
+,9338,6562,2430,3313,2479,970,2964,5335,5788,9634
+,2417,9160,3138,9337,8670,1475,531,1630,219,2777
+,697,6110,3707,9657,1422,1087,1862,5417,2123,1301
+,8541,968,4104,9625,9115,1794,7140,1231,961,3453
-,5548,6256,8211,4397,6784,7351,3947,502,7291,3640
+,2781,6313,8682,3478,6132,8300,3711,2752,5530,2054
+,4565,5633,8341,1675,5720,5045,2284,5909,4559,1953
+,5587,6809,265,6076,6869,6711,8361,4217,4714,8593
+,3580,2687,4501,8889,1323,9197,7954,2959,614,9570
+,8303,5001,3285,2122,5056,2045,2193,1128,7594,3196
+,7410,4612,1609,9421,2050,7205,5181,2882,6794,4668
+,8231,3266,7345,6546,613,1412,7479,6866,1196,1148
+,9941,310,9112,9969,4097,8030,7009,1987,778,3205
+,5438,9658,8165,3453,1740,9182,5902,119,3842,1527
+,8690,8366,2022,3836,9742,7658,8261,5615,3131,9577
-,5538,875,2786,652,3127,9879,9324,4378,1864,720
+,2911,5909,1634,2216,9351,6609,2969,2304,8552,7599
+,9178,28,6661,291,9988,5484,7354,1392,4295,5920
+,8118,5174,4643,8376,1226,5054,6455,988,2263,4713
+,335,6438,2361,5645,8873,8784,9345,3612,7882,1039
+,6205,9804,9896,9764,147,9687,7802,3346,3015,5910
+,9803,3670,4434,7200,1520,7257,2093,786,9435,667
+,4737,9894,473,4611,7883,1848,3143,5896,6500,2886
+,8949,3212,3053,9150,2895,8991,8253,4624,1970,7997
+,3180,8939,3620,3182,338,9809,7631,500,6569,6576
+,4091,2750,5601,5794,4052,2243,1702,3911,6203,4161
-,8454,1309,6484,3866,2818,6921,2445,4406,1728,9981
+,6324,7901,9374,9008,4355,7717,3892,3786,8661,105
+,8968,8070,1721,2080,7626,5015,3116,250,4106,9719
+,1452,8887,7911,9593,3733,1078,5000,2329,9152,6215
+,753,6755,9992,8855,3666,6631,2650,6135,7599,1632
+,5159,6263,1699,6153,9193,2837,6217,9370,574,7797
+,9234,8628,8472,8402,8611,4617,6402,7541,1839,1254
+,9859,1271,4184,5780,5304,328,4329,7112,7924,4619
+,5699,9091,8048,4104,8554,4210,9982,2972,2184,6762
+,5356,1385,7982,4592,2383,6358,2756,1936,6638,5487
+,2105,1916,15,7968,2237,6928,5581,1338,2792,5873
-,6197,7371,1253,8360,9478,2533,8636,1958,7860,1349
+,1553,8280,1229,564,6893,5751,4605,9387,6540,6781
+,9507,2576,6078,2457,6159,6390,9125,3640,523,2517
+,8473,2827,4385,947,447,9393,3992,5408,3939,5343
+,7453,8826,7482,675,9231,6445,1096,1283,1198,5107
+,9953,618,3837,1625,8426,325,1936,7228,526,5471
+,2596,9869,7352,647,6383,3865,1767,7360,8866,3326
+,6567,3187,7393,4147,4037,9883,4692,9234,2549,9941
+,9111,7094,9646,824,6611,8528,3574,9811,9298,1768
+,2655,1095,9701,839,8084,5284,9924,6368,2418,1055
+,8527,5075,7563,8056,8003,5745,7750,3875,4744,5041
-,2215,4305,6064,3018,5814,3702,1206,9939,8924,8735
+,1034,9901,5736,8952,8260,3956,4690,9680,9115,7039
+,2471,4321,5003,3807,2601,8527,4438,451,479,5038
+,2708,9497,1770,9348,6450,4289,1461,5601,547,7079
+,6971,8405,2489,9670,618,9928,6908,3116,6331,1070
+,2266,9337,8645,5010,813,9226,4017,3799,6242,969
